date,equity
2019-12-08,229000.46903661167
2019-12-09,229000.46903661167
2019-12-10,229000.46903661167
2019-12-11,229000.46903661167
2019-12-12,229000.46903661167
2019-12-13,229000.46903661167
2019-12-14,229000.46903661167
2019-12-15,229000.46903661167
2019-12-16,229000.46903661167
2019-12-17,229000.46903661167
2019-12-18,229000.46903661167
2019-12-19,229000.46903661167
2019-12-20,229000.46903661167
2019-12-21,229000.46903661167
2019-12-22,229000.46903661167
2019-12-23,229000.46903661167
2019-12-24,229000.46903661167
2019-12-25,229000.46903661167
2019-12-26,229000.46903661167
2019-12-27,229000.46903661167
2019-12-28,229000.46903661167
2019-12-29,229000.46903661167
2019-12-30,229000.46903661167
2019-12-31,229000.46903661167
2020-01-01,229000.46903661167
2020-01-02,229000.46903661167
2020-01-03,229000.46903661167
2020-01-04,229000.46903661167
2020-01-05,229000.46903661167
2020-01-06,229000.46903661167
2020-01-07,229000.46903661167
2020-01-08,229000.46903661167
2020-01-09,229000.46903661167
2020-01-10,229000.46903661167
2020-01-11,229000.46903661167
2020-01-12,229000.46903661167
2020-01-13,229000.46903661167
2020-01-14,229000.46903661167
2020-01-15,229000.46903661167
2020-01-16,229000.46903661167
2020-01-17,229000.46903661167
2020-01-18,229000.46903661167
2020-01-19,229000.46903661167
2020-01-20,229000.46903661167
2020-01-21,229000.46903661167
2020-01-22,229000.46903661167
2020-01-23,229000.46903661167
2020-01-24,229000.46903661167
2020-01-25,229000.46903661167
2020-01-26,229000.46903661167
2020-01-27,229000.46903661167
2020-01-28,229000.46903661167
2020-01-29,229000.46903661167
2020-01-30,229000.46903661167
2020-01-31,229000.46903661167
2020-02-01,229000.46903661167
2020-02-02,229000.46903661167
2020-02-03,229000.46903661167
2020-02-04,229000.46903661167
2020-02-05,229000.46903661167
2020-02-06,229000.46903661167
2020-02-07,229000.46903661167
2020-02-08,229000.46903661167
2020-02-09,229000.46903661167
2020-02-10,229000.46903661167
2020-02-11,229000.46903661167
2020-02-12,229000.46903661167
2020-02-13,229000.46903661167
2020-02-14,229000.46903661167
2020-02-15,229000.46903661167
2020-02-16,229000.46903661167
2020-02-17,229000.46903661167
2020-02-18,229000.46903661167
2020-02-19,229000.46903661167
2020-02-20,229000.46903661167
2020-02-21,229000.46903661167
2020-02-22,229000.46903661167
2020-02-23,229000.46903661167
2020-02-24,229000.46903661167
2020-02-25,229000.46903661167
2020-02-26,229000.46903661167
2020-02-27,229000.46903661167
2020-02-28,229000.46903661167
2020-02-29,229000.46903661167
2020-03-01,229000.46903661167
2020-03-02,229000.46903661167
2020-03-03,229000.46903661167
2020-03-04,229000.46903661167
2020-03-05,229000.46903661167
2020-03-06,229000.46903661167
2020-03-07,229000.46903661167
2020-03-08,229000.46903661167
2020-03-09,229000.46903661167
2020-03-10,229040.9598093947
2020-03-11,228849.51553893156
2020-03-12,226517.86448833073
2020-03-13,226517.86448833073
2020-03-14,226517.86448833073
2020-03-15,226517.86448833073
2020-03-16,226517.86448833073
2020-03-17,227068.71895551382
2020-03-18,227125.94389571654
2020-03-19,229454.7043499802
2020-03-20,229166.36788537374
2020-03-21,229232.08252614414
2020-03-22,228278.86660270655
2020-03-23,229501.6436937212
2020-03-24,229825.7818025977
2020-03-25,229701.90410600233
2020-03-26,230105.5164989313
2020-03-27,229934.50305126765
2020-03-28,229779.35764646003
2020-03-29,229219.162963314
2020-03-30,229858.28625526297
2020-03-31,229975.2975749779
2020-04-01,230184.189960191
2020-04-02,230581.1846826332
2020-04-03,230642.61065731727
2020-04-04,230953.48126091485
2020-04-05,230831.55565076374
2020-04-06,232276.5918694863
2020-04-07,232114.08050592625
2020-04-08,232412.10188737116
2020-04-09,232389.3828179569
2020-04-10,231662.04526408194
2020-04-11,231717.64622194655
2020-04-12,231931.1228312068
2020-04-13,231928.4140768707
2020-04-14,232037.77984961192
2020-04-15,231608.08169487526
2020-04-16,232541.80832678653
2020-04-17,232539.31221082303
2020-04-18,233235.00996712537
2020-04-19,232903.6897529371
2020-04-20,232250.36132435806
2020-04-21,232308.8229121672
2020-04-22,232732.2719182262
2020-04-23,232946.0894347793
2020-04-24,233084.47345935786
2020-04-25,233328.9812693972
2020-04-26,233426.51313155208
2020-04-27,233469.55878425756
2020-04-28,233462.1398542259
2020-04-29,234370.33977231267
2020-04-30,233954.60326102204
2020-05-01,234294.93031870984
2020-05-02,234412.3393547243
2020-05-03,234152.8494704136
2020-05-04,234044.45896609267
2020-05-05,232788.63255785205
2020-05-06,231986.23782541972
2020-05-07,240941.71564740097
2020-05-08,241019.91972426284
2020-05-09,238727.3473179536
2020-05-10,217782.06645472883
2020-05-11,212342.8605943677
2020-05-12,216771.62997294043
2020-05-13,226065.28888819803
2020-05-14,232865.759441475
2020-05-15,224744.86612241028
2020-05-16,227276.23119281649
2020-05-17,232894.18695544833
2020-05-18,236304.83744507335
2020-05-19,236304.83744507335
2020-05-20,236304.83744507335
2020-05-21,236304.83744507335
2020-05-22,236304.83744507335
2020-05-23,236304.83744507335
2020-05-24,236304.83744507335
2020-05-25,236304.83744507335
2020-05-26,236304.83744507335
2020-05-27,236304.83744507335
2020-05-28,236304.83744507335
2020-05-29,236304.83744507335
2020-05-30,236304.83744507335
2020-05-31,236304.83744507335
2020-06-01,236304.83744507335
2020-06-02,236304.83744507335
2020-06-03,236304.83744507335
2020-06-04,236304.83744507335
2020-06-05,236304.83744507335
2020-06-06,236304.83744507335
2020-06-07,236304.83744507335
2020-06-08,236304.83744507335
2020-06-09,236304.83744507335
2020-06-10,236304.83744507335
2020-06-11,236304.83744507335
2020-06-12,236304.83744507335
2020-06-13,236304.83744507335
2020-06-14,236304.83744507335
2020-06-15,236304.83744507335
2020-06-16,236304.83744507335
2020-06-17,236304.83744507335
2020-06-18,236304.83744507335
2020-06-19,236304.83744507335
2020-06-20,236304.83744507335
2020-06-21,236304.83744507335
2020-06-22,236304.83744507335
2020-06-23,236304.83744507335
2020-06-24,236304.83744507335
2020-06-25,236304.83744507335
2020-06-26,236304.83744507335
2020-06-27,236304.83744507335
2020-06-28,236304.83744507335
2020-06-29,236304.83744507335
2020-06-30,236304.83744507335
2020-07-01,236304.83744507335
2020-07-02,236304.83744507335
2020-07-03,236304.83744507335
2020-07-04,236304.83744507335
2020-07-05,236304.83744507335
2020-07-06,236304.83744507335
2020-07-07,236304.83744507335
2020-07-08,236304.83744507335
2020-07-09,236304.83744507335
2020-07-10,236304.83744507335
2020-07-11,236304.83744507335
2020-07-12,236304.83744507335
2020-07-13,236304.83744507335
2020-07-14,236304.83744507335
2020-07-15,236304.83744507335
2020-07-16,236304.83744507335
2020-07-17,236304.83744507335
2020-07-18,236304.83744507335
2020-07-19,236304.83744507335
2020-07-20,236304.83744507335
2020-07-21,236304.83744507335
2020-07-22,236304.83744507335
2020-07-23,236304.83744507335
2020-07-24,236304.83744507335
2020-07-25,236304.83744507335
2020-07-26,236304.83744507335
2020-07-27,236304.83744507335
2020-07-28,236304.83744507335
2020-07-29,236304.83744507335
2020-07-30,236304.83744507335
2020-07-31,236304.83744507335
2020-08-01,236304.83744507335
2020-08-02,236304.83744507335
2020-08-03,236304.83744507335
2020-08-04,236304.83744507335
2020-08-05,236304.83744507335
2020-08-06,236304.83744507335
2020-08-07,236304.83744507335
2020-08-08,236304.83744507335
2020-08-09,236304.83744507335
2020-08-10,236304.83744507335
2020-08-11,236304.83744507335
2020-08-12,236304.83744507335
2020-08-13,236304.83744507335
2020-08-14,236304.83744507335
2020-08-15,236304.83744507335
2020-08-16,236304.83744507335
2020-08-17,236304.83744507335
2020-08-18,236304.83744507335
2020-08-19,236304.83744507335
2020-08-20,236304.83744507335
2020-08-21,236304.83744507335
2020-08-22,236304.83744507335
2020-08-23,236304.83744507335
2020-08-24,236304.83744507335
2020-08-25,236304.83744507335
2020-08-26,236304.83744507335
2020-08-27,236304.83744507335
2020-08-28,236304.83744507335
2020-08-29,236304.83744507335
2020-08-30,236304.83744507335
2020-08-31,236304.83744507335
2020-09-01,253330.3440047394
2020-09-02,240805.10264802884
2020-09-03,208784.58171618255
2020-09-04,207584.25182744878
2020-09-05,203807.2983965256
